GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
KhalfaouiMohamedDhia,com.example.sprinproject.security,JwtFilter,93,0,12,0,21,0,8,0,2,0
KhalfaouiMohamedDhia,com.example.sprinproject.security,JwtService,154,0,4,0,35,0,14,0,12,0
KhalfaouiMohamedDhia,com.example.sprinproject.security,SecurityConfig,59,0,0,0,13,0,3,0,3,0
KhalfaouiMohamedDhia,com.example.sprinproject.security,UserDetailsServiceImpl,13,0,0,0,1,0,2,0,2,0
KhalfaouiMohamedDhia,com.example.sprinproject.auth,ResetPasswordDto,24,0,0,0,10,0,7,0,7,0
KhalfaouiMohamedDhia,com.example.sprinproject.auth,AuthenticationService,341,218,9,3,74,54,17,9,12,8
KhalfaouiMohamedDhia,com.example.sprinproject.auth,AuthenficationRequest,0,9,0,0,0,4,0,1,0,1
KhalfaouiMohamedDhia,com.example.sprinproject.auth,AuthenticationController,73,0,0,0,19,0,7,0,7,0
KhalfaouiMohamedDhia,com.example.sprinproject,SprinProjectApplication,48,0,6,0,11,0,7,0,4,0
KhalfaouiMohamedDhia,com.example.sprinproject.config,BeansConfig,92,0,0,0,14,0,4,0,4,0
KhalfaouiMohamedDhia,com.example.sprinproject.user,User,32,12,2,0,9,3,8,3,7,3
KhalfaouiMohamedDhia,com.example.sprinproject.user,UserService,207,0,6,0,45,0,19,0,16,0
KhalfaouiMohamedDhia,com.example.sprinproject.user,UserController,124,0,0,0,32,0,8,0,8,0
KhalfaouiMohamedDhia,com.example.sprinproject.email,EmailService,70,0,2,0,19,0,2,0,1,0
KhalfaouiMohamedDhia,com.example.sprinproject.email,EmailTemplateName,0,25,0,0,0,6,0,2,0,2
KhalfaouiMohamedDhia,com.example.sprinproject.handler,BusinessErrorCodes,71,0,0,0,12,0,2,0,2,0
KhalfaouiMohamedDhia,com.example.sprinproject.handler,GlobalExceptionHandler,95,0,0,0,50,0,8,0,8,0
KhalfaouiMohamedDhia,com.example.sprinproject.role,RoleController,29,0,0,0,8,0,3,0,3,0
KhalfaouiMohamedDhia,com.example.sprinproject.role,RoleService,32,0,0,0,10,0,4,0,4,0
